geom,oid,longitude,latitude,providers,species,datasets,date_min,date_max,num_records,num_animals,num_species,csquare,geom_wkt
0103000020E610000001000000050000000000000000C05E4000000000000026C00000000000005F4000000000000026C00000000000005F4000000000000028C00000000000C05E4000000000000028C00000000000C05E4000000000000026C0,21460452,124,-12,CSIRO,Rhincodon typus,1296,10/08/2016,23/10/2018,34,2,1,3112:113,"POLYGON((123 -11,124 -11,124 -12,123 -12,123 -11))"
0103000020E61000000100000005000000000000000040604000000000000020C0000000000060604000000000000020C0000000000060604000000000000022C0000000000040604000000000000022C0000000000040604000000000000020C0,21460084,131,-9,CSIRO,Rhincodon typus,1296,14/08/2018,14/08/2018,2,1,1,3013:380,"POLYGON((130 -8,131 -8,131 -9,130 -9,130 -8))"
0103000020E61000000100000005000000000000000080604000000000000014C00000000000A0604000000000000014C00000000000A0604000000000000018C0000000000080604000000000000018C0000000000080604000000000000014C0,21460074,133,-6,CSIRO,Rhincodon typus,1296,03/09/2018,23/10/2018,87,1,1,3013:352,"POLYGON((132 -5,133 -5,133 -6,132 -6,132 -5))"
0103000020E610000001000000050000000000000000A0604000000000000018C00000000000C0604000000000000018C00000000000C060400000000000001CC00000000000A060400000000000001CC00000000000A0604000000000000018C0,21460083,134,-6,CSIRO,Rhincodon typus,1296,20/08/2018,28/08/2018,17,1,1,3013:363,"POLYGON((133 -6,134 -6,134 -7,133 -7,133 -6))"
0103000020E610000001000000050000000000000000A0604000000000000014C00000000000C0604000000000000014C00000000000C0604000000000000018C00000000000A0604000000000000018C00000000000A0604000000000000014C0,21460075,134,-6,CSIRO,Rhincodon typus,1296,30/08/2018,30/08/2018,10,1,1,3013:353,"POLYGON((133 -5,134 -5,134 -6,133 -6,133 -5))"
0103000020E61000000100000005000000000000000020614000000000000026C0000000000040614000000000000026C0000000000040614000000000000028C0000000000020614000000000000028C0000000000020614000000000000026C0,21460516,137,-11,CSIRO,Rhincodon typus,1296,27/09/2017,27/09/2017,1,1,1,3113:217,"POLYGON((137 -11,138 -11,138 -12,137 -12,137 -11))"
0103000020E61000000100000005000000000000000040614000000000000031C0000000000060614000000000000031C0000000000060614000000000000032C0000000000040614000000000000032C0000000000040614000000000000031C0,21460534,138,-17,CSIRO,Rhincodon typus,1296,27/07/2018,27/07/2018,1,1,1,3113:478,"POLYGON((138 -17,139 -17,139 -18,138 -18,138 -17))"
0103000020E6100000010000000500000000000000004061400000000000002EC000000000006061400000000000002EC0000000000060614000000000000030C0000000000040614000000000000030C000000000004061400000000000002EC0,21460533,139,-15,CSIRO,Rhincodon typus,1296,22/10/2017,30/10/2017,11,1,1,3113:458,"POLYGON((138 -15,139 -15,139 -16,138 -16,138 -15))"
0103000020E6100000010000000500000000000000004061400000000000002CC000000000006061400000000000002CC000000000006061400000000000002EC000000000004061400000000000002EC000000000004061400000000000002CC0,21460526,139,-14,CSIRO,Rhincodon typus,1296,11/10/2017,17/10/2017,9,1,1,3113:248,"POLYGON((138 -14,139 -14,139 -15,138 -15,138 -14))"
0103000020E6100000010000000500000000000000004061400000000000002AC000000000006061400000000000002AC000000000006061400000000000002CC000000000004061400000000000002CC000000000004061400000000000002AC0,21460519,139,-14,CSIRO,Rhincodon typus,1296,17/10/2017,19/10/2017,3,1,1,3113:238,"POLYGON((138 -13,139 -13,139 -14,138 -14,138 -13))"
